0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
1,,огорожен,ОГОРОДИТЬ,PARTCP pf praet - sg brev m pass -,,,   _огорожен_ .  ,н,е,ж,о,р,о,PARTCP,ОГОРОДИТЬ,PARTCP pf praet - sg brev m pass -,Ь
2,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
3,,,,,,,,,,,,,,,,,
4,# sent = 424,,,,,,,,,,,,,,,,
5,,Жили,ЖИТЬ,V ipf praet pl indic - -,,,.   _Жили_ мы в палатках,и,л,и,ж,,,V,ЖИТЬ,V ipf praet pl indic - -,Ь
6,,мы,МЫ,SPRO pl 1p - nom,,,  Жили _мы_ в палатках (,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
7,,в,В,PR,,, Жили мы _в_ палатках ( ну,в,,,,,,PR,В,PR,В
8,,палатках,ПАЛАТКА,S f inan loc pl,,,Жили мы в _палатках_ ( ну в,х,а,к,т,а,л,S,ПАЛАТКА,S f inan loc pl,А
9,,(,(,PUNCT,,,,,,,,,,PUNCT,,,
10,,ну,НУ,PART,,,в палатках ( _ну_ в таких больших,у,н,,,,,PART,НУ,PART,У
11,,в,В,PR,,,палатках ( ну _в_ таких больших в,в,,,,,,PR,В,PR,В
12,,таких,ТАКОЙ,APRO - loc pl plen - -,,,( ну в _таких_ больших в армейских,х,и,к,а,т,,APRO,ТАКОЙ,A - loc pl plen - -,Й
13,,больших,БОЛЬШОЙ,A - loc pl plen - -,,,ну в таких _больших_ в армейских ),х,и,ш,ь,л,о,A,БОЛЬШОЙ,A - loc pl plen - -,Й
14,,в,В,PR,,,"в таких больших _в_ армейских ) ,",в,,,,,,PR,В,PR,В
15,,армейских,АРМЕЙСКИЙ,A - loc pl plen - -,,,"таких больших в _армейских_ ) , и",х,и,к,с,й,е,A,АРМЕЙСКИЙ,A - loc pl plen - -,Й
16,,),),PUNCT,,,,,,,,,,PUNCT,,,
17,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18,,и,И,CONJ,,,"армейских ) , _и_ поэтому я в",и,,,,,,CONJ,И,CONJ,И
19,,поэтому,ПОЭТОМУ,ADVPRO,,,") , и _поэтому_ я в свободное",у,м,о,т,э,о,ADV,ПОЭТОМУ,ADV -,У
20,,я,Я,SPRO sg 1p - nom,,,", и поэтому _я_ в свободное время",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
21,,в,В,PR,,,и поэтому я _в_ свободное время очень,в,,,,,,PR,В,PR,В
22,,свободное,СВОБОДНЫЙ,A - acc sg plen n inan,,,поэтому я в _свободное_ время очень часто,е,о,н,д,о,б,A,СВОБОДНЫЙ,A - acc sg plen n inan,Й
23,,время,ВРЕМЯ,S n inan acc sg,,,я в свободное _время_ очень часто ходил,я,м,е,р,в,,S,ВРЕМЯ,S n inan acc sg,Я
24,,очень,ОЧЕНЬ,ADV -,,,в свободное время _очень_ часто ходил в,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
25,,часто,ЧАСТО,ADV -,,,свободное время очень _часто_ ходил в лес,о,т,с,а,ч,,ADV,ЧАСТО,ADV -,О
26,,ходил,ХОДИТЬ,V ipf praet sg indic m -,,,время очень часто _ходил_ в лес за,л,и,д,о,х,,V,ХОДИТЬ,V ipf praet sg indic m -,Ь
27,,в,В,PR,,,очень часто ходил _в_ лес за грибами,в,,,,,,PR,В,PR,В
28,,лес,ЛЕС,S m inan acc sg,,,"часто ходил в _лес_ за грибами ,",с,е,л,,,,S,ЛЕС,S m inan acc sg,С
29,,за,ЗА,PR,,,"ходил в лес _за_ грибами , за",а,з,,,,,PR,ЗА,PR,А
30,,грибами,ГРИБ,S m inan ins pl,,,"в лес за _грибами_ , за ягодами",и,м,а,б,и,р,S,ГРИБ,S m inan ins pl,Б
